IDnum,Buy,Income,Sex,Mailed,Age,Marital Status,Occupation,Education Level,Geographic Location,Online Behavior,Device Usage,Social Media Activity,Loyalty Program Membership,Previous Interactions with Ads,Shopping Preferences,Life Events,Frequency of Purchase,Average Transaction Value,Product Preferences
2213,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Low,Mobile,Low,Non-Member,Not Shown,In-store,Moving,Frequent,10-49,Clothing
3934,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Desktop,Low,Non-Member,Ignored,In-store,Marriage,Rare,10-49,Clothing
47,No,120k-139k,Male,No,45-54,Married,White-Collar,Bachelor,Suburban,Low,Desktop,Low,Member,Clicked,Online,Childbirth,Rare,200-249,Grocery
794,No,140k-159k,Male,Yes,55-64,Married,Blue-Collar,Bachelor,Urban,Medium,Desktop,Medium,Member,Clicked,In-store,None,Occasional,300-349,Clothing
2070,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,High,Tablet,Low,Non-Member,Ignored,In-store,Marriage,Rare,50-99,Grocery
2152,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Medium,Mobile,High,Non-Member,Ignored,In-store,None,Rare,10-49,Health & Beauty
4413,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Low,Mobile,High,Non-Member,Clicked,In-store,Marriage,Frequent,50-99,Clothing
442,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Mobile,Low,Non-Member,Ignored,In-store,Moving,Occasional,50-99,Clothing
2571,Yes,140k-159k,Male,No,35-44,Single,Blue-Collar,Bachelor,Rural,Medium,Mobile,Low,Non-Member,Clicked,In-store,None,Rare,450-500,Home & Garden
3473,Yes,80k-99k,Male,Yes,55-64,Single,White-Collar,Graduate,Urban,Low,Tablet,Medium,Member,Ignored,Online,None,Frequent,400-449,Home & Garden
4882,No,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Urban,Medium,Tablet,Medium,Non-Member,Not Shown,In-store,Childbirth,Occasional,50-99,Grocery
2524,No,100k-119k,Female,No,35-44,Single,White-Collar,Bachelor,Suburban,High,Desktop,Medium,Member,Clicked,Online,Marriage,Occasional,200-249,Health & Beauty
2870,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Urban,High,Desktop,Low,Non-Member,Clicked,In-store,Moving,Frequent,50-99,Home & Garden
2011,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,High,Mobile,Low,Non-Member,Not Shown,In-store,Marriage,Occasional,50-99,Health & Beauty
1881,Yes,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Low,Tablet,Medium,Non-Member,Ignored,In-store,Moving,Occasional,10-49,Clothing
3,Yes,100k-119k,Female,Yes,45-54,Single,White-Collar,Graduate,Urban,Medium,Tablet,Low,Member,Clicked,Online,Childbirth,Occasional,250-299,Electronics
1699,Yes,160k-179k,Female,Yes,55-64,Single,Blue-Collar,Bachelor,Rural,High,Tablet,High,Non-Member,Clicked,Online,Moving,Occasional,250-299,Electronics
3014,No,120k-139k,Male,No,45-54,Single,Blue-Collar,Bachelor,Urban,Medium,Desktop,High,Member,Clicked,In-store,Childbirth,Rare,450-500,Home & Garden
641,Yes,140k-159k,Female,No,35-44,Single,White-Collar,Bachelor,Urban,High,Mobile,Medium,Member,Ignored,Online,Childbirth,Occasional,400-449,Health & Beauty
2660,Yes,140k-159k,Female,Yes,55-64,Single,White-Collar,Bachelor,Rural,High,Desktop,Low,Non-Member,Not Shown,In-store,Childbirth,Frequent,400-449,Home & Garden
1641,Yes,80k-99k,Female,Yes,35-44,Single,White-Collar,Bachelor,Suburban,High,Tablet,Low,Member,Clicked,Online,Moving,Frequent,350-399,Electronics
2951,Yes,180k-200k,Female,Yes,35-44,Married,White-Collar,Bachelor,Urban,High,Mobile,Low,Member,Clicked,In-store,Childbirth,Occasional,350-399,Electronics
421,Yes,160k-179k,Male,No,45-54,Single,Blue-Collar,Graduate,Rural,Medium,Desktop,Medium,Non-Member,Not Shown,In-store,Childbirth,Frequent,450-500,Home & Garden
3690,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Mobile,Medium,Non-Member,Clicked,In-store,Moving,Frequent,10-49,Home & Garden
4661,No,120k-139k,Male,No,35-44,Single,White-Collar,Graduate,Suburban,Medium,Tablet,Low,Member,Ignored,Online,Marriage,Rare,400-449,Electronics
2785,No,160k-179k,Female,No,35-44,Married,White-Collar,Graduate,Urban,Medium,Desktop,Medium,Member,Not Shown,Online,Marriage,Rare,300-349,Grocery
3195,Yes,140k-159k,Male,Yes,55-64,Single,White-Collar,Bachelor,Urban,Low,Tablet,Medium,Member,Ignored,Online,Moving,Frequent,250-299,Home & Garden
4049,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Desktop,Medium,Non-Member,Ignored,In-store,Marriage,Rare,10-49,Clothing
302,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,High,Tablet,Medium,Non-Member,Ignored,In-store,Childbirth,Occasional,50-99,Electronics
4339,No,160k-179k,Female,No,35-44,Single,Blue-Collar,Graduate,Urban,High,Desktop,Medium,Member,Not Shown,In-store,Childbirth,Occasional,150-199,Clothing
2089,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Clicked,In-store,Moving,Occasional,10-49,Electronics
151,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Tablet,Medium,Non-Member,Ignored,In-store,Moving,Rare,50-99,Home & Garden
3212,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Rural,Low,Desktop,Medium,Non-Member,Not Shown,In-store,Childbirth,Rare,50-99,Clothing
2972,No,160k-179k,Male,No,35-44,Single,Blue-Collar,Graduate,Urban,Medium,Mobile,Medium,Non-Member,Not Shown,Online,Moving,Occasional,350-399,Clothing
4501,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Tablet,High,Non-Member,Ignored,In-store,Marriage,Frequent,50-99,Grocery
2872,No,160k-179k,Male,No,55-64,Married,White-Collar,Graduate,Urban,High,Tablet,Low,Member,Ignored,Online,Childbirth,Frequent,350-399,Health & Beauty
2836,Yes,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Tablet,Medium,Non-Member,Clicked,In-store,Moving,Rare,10-49,Health & Beauty
4706,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Medium,Mobile,Medium,Non-Member,Not Shown,In-store,None,Rare,50-99,Home & Garden
3763,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Medium,Desktop,Low,Non-Member,Clicked,In-store,None,Occasional,10-49,Health & Beauty
4436,No,140k-159k,Male,No,45-54,Single,Blue-Collar,Bachelor,Urban,High,Desktop,Low,Non-Member,Clicked,Online,Marriage,Occasional,400-449,Electronics
1536,No,120k-139k,Female,No,45-54,Married,White-Collar,Graduate,Suburban,High,Tablet,Low,Non-Member,Not Shown,Online,Marriage,Occasional,300-349,Grocery
63,No,120k-139k,Female,No,45-54,Single,Blue-Collar,Graduate,Suburban,High,Desktop,Medium,Member,Not Shown,Online,None,Occasional,400-449,Grocery
328,No,120k-139k,Female,No,55-64,Married,White-Collar,Graduate,Urban,Low,Desktop,High,Member,Not Shown,Online,Moving,Rare,450-500,Grocery
3854,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,High,Mobile,Low,Non-Member,Ignored,In-store,Moving,Frequent,10-49,Grocery
3306,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,High,Mobile,High,Non-Member,Ignored,In-store,Childbirth,Occasional,10-49,Home & Garden
86,No,160k-179k,Female,No,55-64,Married,Blue-Collar,Bachelor,Rural,Medium,Tablet,High,Member,Ignored,In-store,Marriage,Rare,100-149,Clothing
1291,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Mobile,Medium,Non-Member,Clicked,In-store,None,Rare,10-49,Home & Garden
2684,No,100k-119k,Male,Yes,55-64,Married,White-Collar,Bachelor,Suburban,Low,Mobile,High,Member,Not Shown,Online,None,Occasional,200-249,Health & Beauty
3248,No,180k-200k,Female,No,35-44,Single,White-Collar,Bachelor,Suburban,Low,Mobile,Low,Member,Clicked,Online,Childbirth,Occasional,450-500,Electronics
2481,No,100k-119k,Female,No,55-64,Single,White-Collar,Bachelor,Rural,Low,Tablet,Medium,Member,Not Shown,Online,Marriage,Frequent,250-299,Electronics
2859,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Low,Tablet,Medium,Non-Member,Clicked,In-store,Childbirth,Rare,50-99,Home & Garden
3074,No,180k-200k,Female,No,45-54,Single,White-Collar,Graduate,Rural,Low,Tablet,Low,Non-Member,Ignored,Online,Moving,Rare,100-149,Electronics
3801,No,140k-159k,Female,No,45-54,Married,Blue-Collar,Bachelor,Rural,High,Tablet,Medium,Member,Ignored,In-store,None,Rare,300-349,Electronics
2415,No,120k-139k,Female,No,35-44,Single,Blue-Collar,Bachelor,Suburban,Medium,Desktop,Medium,Member,Ignored,Online,Childbirth,Rare,300-349,Home & Garden
3484,No,120k-139k,Male,No,45-54,Single,Blue-Collar,Graduate,Urban,Low,Tablet,Medium,Member,Ignored,In-store,None,Occasional,250-299,Clothing
1072,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Medium,Tablet,Medium,Non-Member,Ignored,In-store,None,Rare,10-49,Clothing
1795,Yes,100k-119k,Male,Yes,35-44,Single,White-Collar,Bachelor,Rural,High,Mobile,Low,Non-Member,Ignored,Online,Childbirth,Rare,400-449,Clothing
1020,No,100k-119k,Male,No,45-54,Married,White-Collar,Bachelor,Suburban,Medium,Desktop,Low,Non-Member,Ignored,Online,None,Occasional,200-249,Electronics
1042,No,180k-200k,Male,No,55-64,Single,Blue-Collar,Bachelor,Urban,High,Mobile,High,Member,Not Shown,Online,Marriage,Frequent,400-449,Grocery
1834,No,140k-159k,Female,No,45-54,Single,White-Collar,Bachelor,Suburban,Medium,Desktop,High,Member,Not Shown,In-store,Moving,Occasional,200-249,Grocery
708,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Tablet,Medium,Non-Member,Not Shown,In-store,Childbirth,Rare,10-49,Grocery
139,Yes,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Urban,Medium,Desktop,Medium,Non-Member,Ignored,In-store,Childbirth,Occasional,10-49,Clothing
2515,Yes,120k-139k,Female,Yes,45-54,Single,Blue-Collar,Graduate,Urban,High,Desktop,Medium,Non-Member,Ignored,Online,Marriage,Frequent,100-149,Home & Garden
779,No,120k-139k,Female,No,45-54,Married,Blue-Collar,Graduate,Urban,Medium,Mobile,High,Member,Ignored,In-store,None,Occasional,250-299,Clothing
4805,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Low,Tablet,Medium,Non-Member,Clicked,In-store,None,Frequent,10-49,Clothing
3264,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Ignored,In-store,None,Rare,50-99,Home & Garden
2643,Yes,80k-99k,Female,No,55-64,Married,Blue-Collar,Graduate,Suburban,Low,Tablet,High,Non-Member,Clicked,Online,Childbirth,Frequent,350-399,Grocery
4404,No,160k-179k,Female,No,55-64,Married,Blue-Collar,Bachelor,Urban,Medium,Desktop,Low,Member,Not Shown,Online,Childbirth,Rare,100-149,Home & Garden
4474,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Medium,Tablet,High,Non-Member,Ignored,In-store,None,Occasional,10-49,Clothing
143,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Clicked,In-store,None,Occasional,50-99,Grocery
767,Yes,160k-179k,Female,Yes,35-44,Married,Blue-Collar,Bachelor,Rural,Low,Tablet,Low,Member,Ignored,In-store,None,Frequent,400-449,Home & Garden
4609,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Mobile,Low,Non-Member,Ignored,In-store,None,Rare,10-49,Grocery
1683,Yes,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Low,Mobile,High,Non-Member,Clicked,In-store,Moving,Frequent,10-49,Clothing
68,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Clicked,In-store,Marriage,Occasional,50-99,Clothing
3619,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,High,Tablet,High,Non-Member,Ignored,In-store,Moving,Frequent,50-99,Health & Beauty
4604,Yes,160k-179k,Female,Yes,55-64,Married,White-Collar,Bachelor,Rural,High,Mobile,Low,Member,Not Shown,In-store,None,Occasional,150-199,Home & Garden
464,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Medium,Desktop,Low,Non-Member,Clicked,In-store,Moving,Rare,50-99,Home & Garden
1841,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Mobile,Low,Non-Member,Not Shown,In-store,None,Frequent,50-99,Home & Garden
994,Yes,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Ignored,In-store,Childbirth,Rare,10-49,Home & Garden
159,Yes,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,High,Tablet,Low,Non-Member,Ignored,In-store,Marriage,Frequent,10-49,Health & Beauty
980,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Urban,Medium,Mobile,Medium,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Health & Beauty
2599,Yes,100k-119k,Female,Yes,45-54,Married,White-Collar,Bachelor,Suburban,High,Mobile,Low,Non-Member,Clicked,Online,None,Rare,200-249,Grocery
1688,No,80k-99k,Female,No,45-54,Married,Blue-Collar,Bachelor,Rural,Low,Desktop,High,Member,Ignored,In-store,Marriage,Rare,150-199,Grocery
1146,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Desktop,High,Non-Member,Ignored,In-store,Moving,Rare,10-49,Home & Garden
1730,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Desktop,Low,Non-Member,Not Shown,In-store,Childbirth,Occasional,50-99,Health & Beauty
1412,No,80k-99k,Female,No,35-44,Single,Blue-Collar,Bachelor,Urban,High,Mobile,High,Member,Ignored,Online,Marriage,Occasional,200-249,Health & Beauty
3164,No,120k-139k,Female,No,45-54,Married,White-Collar,Graduate,Urban,Medium,Mobile,High,Member,Ignored,In-store,Childbirth,Occasional,300-349,Health & Beauty
1106,No,100k-119k,Male,No,45-54,Married,White-Collar,Bachelor,Suburban,Medium,Tablet,Medium,Non-Member,Clicked,Online,Moving,Occasional,150-199,Clothing
413,Yes,100k-119k,Male,No,45-54,Married,Blue-Collar,Bachelor,Urban,High,Desktop,Low,Non-Member,Clicked,Online,None,Rare,250-299,Health & Beauty
2442,No,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Rural,High,Desktop,Medium,Non-Member,Not Shown,In-store,Marriage,Rare,50-99,Grocery
3298,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Tablet,Medium,Non-Member,Ignored,In-store,None,Frequent,10-49,Home & Garden
1076,Yes,120k-139k,Female,Yes,55-64,Married,Blue-Collar,Graduate,Urban,Low,Mobile,Low,Non-Member,Ignored,Online,None,Occasional,300-349,Electronics
2992,Yes,120k-139k,Female,Yes,45-54,Single,Blue-Collar,Bachelor,Rural,Low,Mobile,High,Member,Ignored,In-store,Moving,Rare,400-449,Home & Garden
752,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Low,Mobile,High,Non-Member,Not Shown,In-store,Childbirth,Occasional,10-49,Electronics
160,Yes,160k-179k,Male,Yes,45-54,Married,Blue-Collar,Graduate,Urban,Medium,Tablet,Low,Non-Member,Clicked,Online,Marriage,Frequent,400-449,Electronics
1594,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Tablet,Low,Non-Member,Clicked,In-store,Moving,Frequent,50-99,Home & Garden
646,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,High,Mobile,Low,Non-Member,Not Shown,In-store,Moving,Rare,50-99,Home & Garden
2822,Yes,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Grocery
3022,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Medium,Mobile,High,Non-Member,Ignored,In-store,Marriage,Rare,50-99,Grocery
2222,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Tablet,Low,Non-Member,Clicked,In-store,Marriage,Occasional,10-49,Clothing
2981,No,120k-139k,Female,No,45-54,Married,White-Collar,Bachelor,Suburban,High,Tablet,Medium,Member,Not Shown,Online,Marriage,Rare,300-349,Electronics
1774,No,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Urban,Low,Tablet,High,Non-Member,Not Shown,In-store,Moving,Occasional,50-99,Electronics
702,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Clicked,In-store,Moving,Frequent,10-49,Home & Garden
3087,No,80k-99k,Male,Yes,55-64,Married,White-Collar,Graduate,Rural,High,Mobile,High,Member,Ignored,Online,Marriage,Rare,250-299,Grocery
3008,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Ignored,In-store,Moving,Occasional,50-99,Health & Beauty
1381,No,80k-99k,Female,No,45-54,Married,White-Collar,Graduate,Rural,Low,Tablet,Low,Member,Ignored,Online,Childbirth,Rare,300-349,Clothing
2928,Yes,80k-99k,Male,Yes,45-54,Single,Blue-Collar,Graduate,Rural,Medium,Desktop,Low,Non-Member,Ignored,Online,Childbirth,Frequent,100-149,Health & Beauty
2144,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Medium,Desktop,High,Non-Member,Clicked,In-store,Moving,Rare,50-99,Clothing
3791,Yes,180k-200k,Female,Yes,35-44,Single,Blue-Collar,Graduate,Suburban,Medium,Tablet,Low,Member,Clicked,Online,Marriage,Rare,200-249,Home & Garden
4574,Yes,180k-200k,Male,Yes,55-64,Married,Blue-Collar,Bachelor,Rural,High,Mobile,Low,Member,Not Shown,In-store,Marriage,Rare,400-449,Health & Beauty
2368,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Clicked,In-store,Childbirth,Occasional,10-49,Home & Garden
1358,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Mobile,High,Non-Member,Ignored,In-store,Marriage,Frequent,50-99,Electronics
4086,Yes,120k-139k,Female,Yes,35-44,Single,White-Collar,Graduate,Suburban,Low,Desktop,Low,Member,Clicked,Online,None,Frequent,200-249,Clothing
3472,Yes,140k-159k,Female,Yes,45-54,Single,White-Collar,Bachelor,Suburban,Low,Desktop,Low,Member,Clicked,In-store,Childbirth,Occasional,200-249,Home & Garden
3978,Yes,140k-159k,Male,No,45-54,Married,Blue-Collar,Graduate,Urban,Low,Desktop,Medium,Non-Member,Clicked,Online,None,Rare,450-500,Health & Beauty
1424,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,Medium,Non-Member,Not Shown,In-store,Marriage,Rare,10-49,Home & Garden
231,Yes,180k-200k,Female,Yes,55-64,Single,White-Collar,Graduate,Urban,High,Tablet,High,Member,Not Shown,Online,Moving,Frequent,450-500,Home & Garden
3241,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Tablet,Medium,Non-Member,Not Shown,In-store,None,Frequent,10-49,Home & Garden
1544,No,180k-200k,Female,No,35-44,Married,Blue-Collar,Graduate,Suburban,Low,Desktop,Medium,Member,Clicked,Online,Marriage,Occasional,100-149,Electronics
2265,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,High,Desktop,Low,Non-Member,Clicked,In-store,Moving,Rare,50-99,Home & Garden
2324,No,180k-200k,Male,Yes,55-64,Married,White-Collar,Bachelor,Rural,Medium,Desktop,Medium,Member,Not Shown,In-store,Moving,Occasional,300-349,Health & Beauty
3258,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,Low,Non-Member,Not Shown,In-store,Moving,Frequent,10-49,Clothing
948,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Medium,Mobile,Low,Non-Member,Ignored,In-store,Marriage,Occasional,50-99,Electronics
1351,Yes,80k-99k,Male,Yes,45-54,Single,Blue-Collar,Bachelor,Rural,Low,Mobile,Low,Member,Ignored,In-store,Childbirth,Frequent,450-500,Electronics
4839,No,160k-179k,Male,No,35-44,Single,Blue-Collar,Graduate,Suburban,Low,Desktop,Low,Member,Clicked,In-store,Childbirth,Occasional,150-199,Home & Garden
3831,No,160k-179k,Female,No,55-64,Single,Blue-Collar,Bachelor,Urban,Medium,Desktop,High,Member,Not Shown,Online,Marriage,Rare,200-249,Clothing
1008,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,Medium,Desktop,Medium,Non-Member,Clicked,In-store,Childbirth,Rare,50-99,Clothing
2640,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Medium,Desktop,High,Non-Member,Ignored,In-store,Childbirth,Rare,10-49,Electronics
3183,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Desktop,High,Non-Member,Clicked,In-store,Moving,Occasional,50-99,Health & Beauty
2603,No,80k-99k,Female,No,35-44,Married,White-Collar,Graduate,Rural,Medium,Tablet,Low,Member,Clicked,In-store,Marriage,Occasional,250-299,Electronics
1396,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Medium,Mobile,Low,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Health & Beauty
4287,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Clicked,In-store,Marriage,Frequent,10-49,Health & Beauty
196,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Tablet,Medium,Non-Member,Not Shown,In-store,None,Frequent,10-49,Health & Beauty
220,Yes,180k-200k,Male,Yes,55-64,Single,Blue-Collar,Bachelor,Urban,High,Mobile,Medium,Member,Ignored,Online,Childbirth,Occasional,400-449,Home & Garden
4505,No,180k-200k,Female,No,45-54,Single,White-Collar,Graduate,Rural,Low,Desktop,Medium,Non-Member,Clicked,Online,Marriage,Frequent,350-399,Home & Garden
1312,Yes,120k-139k,Female,No,55-64,Married,White-Collar,Graduate,Urban,Low,Mobile,Medium,Member,Ignored,Online,None,Occasional,250-299,Electronics
488,Yes,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Low,Desktop,High,Non-Member,Not Shown,In-store,Marriage,Frequent,10-49,Health & Beauty
2217,Yes,180k-200k,Male,Yes,35-44,Married,White-Collar,Graduate,Rural,High,Tablet,High,Member,Not Shown,Online,Marriage,Frequent,300-349,Electronics
601,Yes,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Low,Desktop,High,Non-Member,Clicked,In-store,Childbirth,Occasional,10-49,Home & Garden
1256,Yes,160k-179k,Female,Yes,55-64,Single,Blue-Collar,Graduate,Suburban,Medium,Mobile,Low,Member,Clicked,In-store,Moving,Frequent,150-199,Grocery
1762,Yes,80k-99k,Female,Yes,45-54,Single,White-Collar,Graduate,Suburban,Medium,Mobile,Low,Member,Ignored,Online,None,Frequent,350-399,Clothing
221,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Not Shown,In-store,Moving,Rare,10-49,Home & Garden
1203,Yes,160k-179k,Female,No,55-64,Single,White-Collar,Bachelor,Urban,Low,Tablet,Low,Member,Not Shown,Online,Marriage,Frequent,100-149,Grocery
3415,Yes,120k-139k,Male,Yes,35-44,Single,Blue-Collar,Bachelor,Urban,Low,Mobile,Low,Non-Member,Not Shown,In-store,Childbirth,Rare,250-299,Health & Beauty
2810,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Tablet,Low,Non-Member,Not Shown,In-store,Childbirth,Frequent,10-49,Home & Garden
1886,Yes,160k-179k,Male,No,55-64,Married,Blue-Collar,Graduate,Suburban,Medium,Desktop,Low,Member,Ignored,Online,Marriage,Rare,100-149,Home & Garden
1478,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Low,Desktop,High,Non-Member,Clicked,In-store,Moving,Rare,10-49,Home & Garden
4757,Yes,160k-179k,Female,Yes,55-64,Married,Blue-Collar,Bachelor,Urban,Medium,Tablet,Medium,Non-Member,Ignored,Online,Moving,Frequent,100-149,Health & Beauty
1018,Yes,80k-99k,Male,Yes,45-54,Single,Blue-Collar,Graduate,Rural,High,Tablet,High,Member,Not Shown,Online,Childbirth,Occasional,250-299,Clothing
1040,No,120k-139k,Female,No,35-44,Married,White-Collar,Graduate,Rural,Medium,Tablet,Low,Member,Not Shown,In-store,Moving,Rare,350-399,Clothing
4081,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,High,Tablet,Medium,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Health & Beauty
2521,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Electronics
3825,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Low,Mobile,High,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Grocery
1855,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Medium,Tablet,Medium,Non-Member,Ignored,In-store,Marriage,Frequent,10-49,Electronics
4221,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Mobile,Medium,Non-Member,Not Shown,In-store,None,Rare,10-49,Home & Garden
657,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Tablet,Medium,Non-Member,Ignored,In-store,Childbirth,Rare,10-49,Health & Beauty
3041,Yes,80k-99k,Male,Yes,45-54,Married,White-Collar,Graduate,Urban,High,Mobile,High,Member,Clicked,Online,Childbirth,Occasional,150-199,Electronics
4031,No,120k-139k,Female,Yes,35-44,Married,Blue-Collar,Graduate,Rural,Medium,Mobile,Medium,Member,Not Shown,Online,Moving,Occasional,250-299,Home & Garden
1259,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Clicked,In-store,Marriage,Rare,10-49,Home & Garden
660,Yes,80k-99k,Male,Yes,55-64,Married,Blue-Collar,Graduate,Urban,Medium,Tablet,Low,Member,Clicked,Online,Marriage,Occasional,450-500,Grocery
3698,No,80k-99k,Male,No,55-64,Single,Blue-Collar,Bachelor,Urban,High,Desktop,Low,Non-Member,Not Shown,In-store,None,Occasional,450-500,Health & Beauty
4250,No,120k-139k,Female,No,35-44,Married,White-Collar,Bachelor,Urban,High,Mobile,Medium,Member,Ignored,In-store,Childbirth,Occasional,350-399,Grocery
376,No,80k-99k,Male,No,35-44,Married,Blue-Collar,Bachelor,Suburban,Medium,Tablet,Low,Member,Clicked,In-store,None,Frequent,300-349,Clothing
613,No,80k-99k,Male,Yes,55-64,Married,Blue-Collar,Bachelor,Suburban,Medium,Mobile,High,Member,Clicked,In-store,Marriage,Frequent,350-399,Home & Garden
